restaurant,location,cuisine,price,food_rating,service_rating,ambience_rating,value_rating,num_reviews,recommendation_percentage,chef,dining_style,dress_code,noise_level
Philippe Chow - Uptown,Upper East Side,Chinese,$31 to $50,4.5,4.4,4.3,4,2394,82%,Philippe Chow,Casual Elegant,Business Casual,Moderate
Tagine Fine Moroccan Cuisine,Theater District / Times Square,Moroccan,$30 and under,4,3.7,3.8,3.3,176,33%,Hamid Idrissi,Casual Dining,Casual Dress,Moderate
Spaghetti Incident,Lower East Side,Italian,$31 to $50,4.6,4.5,4.5,4.6,99,100%,,Casual Dining,Casual Dress,Moderate
Brazil Brazil,Theater District / Times Square,Brazilian,$31 to $50,4.4,4.3,4.2,4,332,89%,,Casual Dining,Casual Dress,Quiet
Uncle Nick's Greek Cuisine - Hell's Kitchen,Midtown West,Greek,$30 and under,4.2,4.3,3.6,4.1,737,87%,Anthony Manatakis,Casual Dining,Casual Dress,Moderate
Tiella,Upper East Side,Italian,$30 and under,4.7,4.6,4.4,4.5,542,100%,Giuseppe Castellano,Casual Dining,Casual Dress,Quiet
Yopparai,Lower East Side,Izakaya,$50 and over,4.8,4.8,4.7,4.4,310,95%,Junya Miura,Casual Elegant,Casual Dress,Quiet
Bouchon  at Time Warner Center,Columbus Circle,French American,$30 and under,4.4,4.2,4.2,3.9,361,90%,Thomas Keller,Casual Dining,Casual Dress,Moderate
Haswell Green's,Theater District / Times Square,American,$30 and under,4.1,4.3,4.6,4.1,67,95%,David Coleman,Casual Dining,Business Casual,Moderate
Voula,West Village,Greek,$31 to $50,4.6,4.5,4.4,4.2,44,96%,,Casual Dining,Casual Dress,Moderate
Tir Na Nog Irish Bar & Grill - Times Square,Midtown West,American,$31 to $50,4.4,4.3,4.4,4.4,276,94%,Luis Uruchima,Casual Elegant,Casual Dress,Moderate
Kyo Ya,East Village,Japanese,$50 and over,4.7,4.8,4.7,4.4,46,85%,,Casual Elegant,Smart Casual,Quiet
Sapphire,Lincoln Square,Indian,$30 and under,4.3,4.3,4.3,4.1,1511,91%,Vajay Bhargava/ Guman Saugh,Fine Dining,Business Casual,Quiet
The Regency Bar & Grill,Midtown East,American,$50 and over,4.2,4.2,4.3,3.7,105,79%,Serge Devesa,Casual Elegant,Business Casual,Moderate
San Pietro,Rockefeller Center Midtown,Italian,$50 and over,4.7,4.7,4.6,4,202,89%,,Casual Elegant,Smart Casual,Moderate
Chelsea Ristorante,Chelsea,Italian,$30 and under,4.4,4.4,4.2,4.2,599,95%,,Casual Dining,Casual Dress,Moderate
TGA NYC,Midtown West,American,$31 to $50,4.3,4.2,4.3,3.9,50,89%,Jose Leon,Fine Dining,Casual Dress,Moderate
Deux Amis,Midtown East,French,$30 and under,4.5,4.5,4.5,4.4,455,98%,,Casual Dining,Business Casual,Quiet
5 Napkin Burger - Upper West Side,Upper West Side,American,$30 and under,4.3,4.2,4,4,1174,94%,Andy D'Amico,Casual Dining,Casual Dress,Moderate
Stout NYC Grand Central,Midtown East,American,$30 and under,4.3,4.2,4.2,4.1,41,100%,,Casual Dining,Casual Dress,Moderate
Sushi Damo,Midtown West,Japanese,$31 to $50,4.3,4,3.9,3.8,356,84%,,Fine Dining,Formal Attire,Moderate
Song E Napule,NoHo,Italian,$30 and under,4.8,4.7,4.5,4.6,137,100%,,Casual Dining,Business Casual,Moderate
Badshah Modern Indian Restaurant,Hell's Kitchen,Indian,$30 and under,4.6,4.4,4.2,4.2,148,93%,,Casual Dining,Smart Casual,Moderate
Bistro Cassis Manhattan,Upper West Side,French,$30 and under,4.4,4.3,4.2,4,562,93%,,Casual Dining,Casual Dress,Moderate
Blue Ribbon Federal Grill,Financial District,Contemporary American,$31 to $50,4.4,4.4,4.2,3.9,221,94%,Bruce and Eric Bromberg,Casual Dining,Casual Dress,Moderate
Numero 28 Pizzeria Napoletana - East Village,East Village,Italian,$30 and under,4.8,4.5,4.5,4.5,249,100%,,Casual Dining,Casual Dress,Moderate
Gente,Midtown East,Italian,$31 to $50,4.3,4.4,4.1,4.1,733,76%,Jay B. Mitchell,Casual Elegant,Casual Dress,Quiet
Crompton Ale House,Chelsea,American,$30 and under,4.4,4.5,4.4,4.3,76,92%,,Casual Dining,Business Casual,Moderate
Wine 34,Murray Hill,American,$31 to $50,4.3,4.3,4.3,4,77,100%,Oscar Ortega,Casual Dining,Casual Dress,Moderate
Inside Park at St. Bart's,Midtown East,Contemporary American,$30 and under,4.3,4.4,4.5,4.2,1031,97%,Denton Whyte,Casual Elegant,Business Casual,Moderate
10 Corso Como - New York,South Street Seaport,Italian,$31 to $50,4.3,4.4,4.4,4,90,92%,Jordan Frosolone,Casual Elegant,Smart Casual,Quiet
SuperNova,Theater District / Times Square,American,$30 and under,4,3.8,4.3,3.7,341,77%,Eddie McRae,Casual Dining,Smart Casual,Moderate
Industry Kitchen,South Street Seaport,American,$30 and under,4.3,4.3,4.5,4.1,457,91%,Chef Sean Chudoba,Casual Dining,Casual Dress,Moderate
Azuki Japanese Restaurant,Theater District / Times Square,Japanese,$30 and under,4.3,3.8,3.9,4.2,36,100%,,Casual Dining,Business Casual,Quiet
The Ainsworth,Chelsea,Gastro Pub,$30 and under,4,3.9,4.1,3.9,269,100%,,Casual Dining,Business Casual,Moderate
Berimbau Brazilian Restaurant,West Village,Brazilian,$31 to $50,4.7,4.7,4.5,4.4,713,93%,,Casual Elegant,Smart Casual,Moderate
Chuck & Blade,Chelsea,American,$30 and under,3.8,3.8,3.9,3.7,225,75%,Armando Cortes and Viko Ortega,Casual Dining,Casual Dress,Quiet
Plant Food + Wine New York,East Village,Vegan,$31 to $50,4.3,4.2,4.3,3.6,137,84%,Scott Winegard,Casual Dining,Casual Dress,Moderate
Lokal Mediterranean Kitchen,Upper West Side,Mediterranean,$31 to $50,4.5,4.5,4.4,4.3,255,96%,,Casual Dining,Business Casual,Moderate
Fraunces Tavern,Financial District,Contemporary American,$30 and under,4.4,4.3,4.7,4.1,1955,96%,Jesus Guzman,Casual Dining,Smart Casual,Moderate
Blenheim,West Village,Contemporary American,$31 to $50,4.4,4.3,4.5,4,415,90%,,Casual Elegant,Smart Casual,Quiet
Mediterraneo,Upper East Side,Italian,$30 and under,4.4,4.4,4.3,4.2,195,93%,,Casual Dining,Smart Casual,Moderate
Kingside,Midtown West,American,$31 to $50,4,4,4.2,3.7,439,89%,Fernando Navas,Casual Elegant,Business Casual,Quiet
Le Midi Bar & Restaurant,Union Square,French,$31 to $50,4.3,4.4,4.3,4.3,495,94%,,Casual Dining,Casual Dress,Quiet
La Sirene UWS,Upper West Side,French,$31 to $50,4.6,4.6,4.5,4.3,253,95%,Lyon Pawlicki,Casual Dining,Casual Dress,Quiet
The Meatball Shop - Upper East Side,Upper East Side,American,$30 and under,4.5,4.5,4.3,4.3,27,100%,,Casual Dining,Casual Dress,Moderate
5 Napkin Burger - Upper East Side,Upper East Side,American,$30 and under,4.6,4.5,4.3,4.3,183,100%,Chef Andy D'Amico,Casual Dining,Casual Dress,Moderate
Gran Morsi,TriBeCa - Downtown,Italian,$31 to $50,4.5,4.5,4.5,4.1,342,91%,,Casual Elegant,Smart Casual,Moderate
Russian Vodka Room,Midtown West,Russian,$30 and under,4.4,4.2,4.2,4.2,98,94%,,Casual Elegant,Business Casual,Moderate
Trinity Place Bar & Restaurant,Financial District,Contemporary American,$30 and under,4.3,4.3,4.5,4.1,848,90%,Donal Crosbie,Casual Elegant,Business Casual,Moderate
PMF - Pardon My French,East Village,French,$30 and under,4.3,4.4,4.4,4,45,88%,,Casual Dining,Casual Dress,Moderate
Gazala’s,Upper West Side,Middle Eastern,$30 and under,4.4,4.3,4,4.1,164,92%,Gazala Halabi,Casual Dining,Smart Casual,Moderate
1 Darbar,Midtown East,Indian,$30 and under,4.3,4.1,3.8,4,568,83%,Apu Gomez,Casual Elegant,Smart Casual,Quiet
BlackTail,Battery Park,American,$31 to $50,4.5,4.7,4.9,4.2,343,96%,,Casual Dining,Smart Casual,Moderate
Giorgione,SoHo,Italian,$31 to $50,4.5,4.5,4.5,4.1,643,84%,,Casual Elegant,Smart Casual,Moderate
Jean Claude 2,Upper East Side,French,$30 and under,4.5,4.5,4.3,4.4,499,93%,,Casual Dining,Smart Casual,Moderate
Saar Indian Bistro,Theater District / Times Square,Indian,$31 to $50,4.4,4.3,4.2,4.1,125,90%,Hemant Mathur & Surbhi Sahni,Casual Dining,Casual Dress,Quiet
Max - Tribeca,TriBeCa - Downtown,Italian,$30 and under,4.6,4.6,4.5,4.6,396,91%,Luigi Iasilli,Home Style,Casual Dress,Moderate
Ajisai Japanese Restaurant,Hell's Kitchen,Japanese,$30 and under,4.4,4.2,4,4.3,111,100%,,Casual Dining,Formal Attire,Moderate
Souvlaki GR - LES,Lower East Side,Greek,$30 and under,4.6,4.2,4.6,4.5,231,87%,,Casual Dining,Casual Dress,Moderate
The Terrace at EDITION and Outdoor Gardens,Theater District / Times Square,American,$31 to $50,4.5,4.3,4.7,3.9,29,90%,John Fraser,Casual Elegant,Smart Casual,Moderate
Osteria 57,Greenwich Village,Italian,$31 to $50,4.4,4.2,4.6,4.2,73,95%,,Casual Dining,Smart Casual,Moderate
Belcampo - Hudson Yards,Hudson Yards,American,$31 to $50,3.8,3.8,3.8,3.6,38,75%,Brett Halfpap,Casual Dining,Business Casual,Moderate
B. Cafe,Upper East Side,Belgian,$30 and under,4.5,4.2,4.1,4.1,972,93%,John Rees/chef co owner,Casual Dining,Smart Casual,Moderate
Cafe Frida - Columbus Ave,Upper West Side,Mexican,$30 and under,4.3,4.3,4.1,4,923,87%,Miguel Espinoza,Casual Dining,Business Casual,Moderate
Storico,Upper West Side,Contemporary Italian,$31 to $50,4.2,4.3,4.3,3.9,1422,91%,James Miller,Casual Elegant,Smart Casual,Moderate
Caravaggio New York,Upper East Side,Italian,$31 to $50,4.5,4.6,4.6,4.1,833,89%,,Fine Dining,Business Casual,Quiet
Cull and Pistol,Chelsea,Seafood,$30 and under,4.7,4.5,4.3,4.1,416,91%,,Casual Dining,Casual Dress,Moderate
Aurora Soho,SoHo,Italian,$31 to $50,4.6,4.4,4.5,4.3,858,94%,Riccardo Buitoni,Casual Dining,Casual Dress,Moderate
Lucky Strike,SoHo,French American,$30 and under,4.4,4.2,4.4,4.1,182,90%,,Casual Dining,Casual Dress,Moderate
Bistro Les Amis,SoHo,French,$31 to $50,4.6,4.7,4.5,4.5,390,98%,David Snell,Casual Elegant,Casual Dress,Moderate
Cowgirl,Meatpacking District,Barbecue,$31 to $50,4.3,4.3,4.4,4.4,194,93%,,Casual Dining,Casual Dress,Moderate
Ciccio,SoHo,Italian,$30 and under,4.5,4.6,4.5,4.3,298,96%,Giacomo Romano,Casual Dining,Casual Dress,Moderate
Tio Pepe,West Village,Spanish,$30 and under,3.7,4.1,4.1,3.9,192,73%,Chef Javier Hernandez ,Casual Dining,Casual Dress,Moderate
The Greek Kitchen,Hell's Kitchen,Greek,$30 and under,4.4,4.3,4,4.2,570,94%,,Casual Dining,Smart Casual,Quiet
Haru Hell's Kitchen,Hell's Kitchen,Japanese,$31 to $50,4.3,4.3,4.1,4,128,82%,Ben Dodaro,Casual Dining,Business Casual,Moderate
Serafina Tribeca,TriBeCa - Downtown,Italian,$31 to $50,4.4,4.2,4.3,4.1,112,91%,,Casual Dining,Casual Dress,Moderate
Connolly's Pub and Restaurant - 47th,Midtown East,American,$30 and under,4.2,4.4,4.2,4.3,209,96%,Winston Hernandez,Casual Dining,Business Casual,Moderate
Haymaker Bar & Kitchen,Chelsea,American,$30 and under,3.9,3.9,3.9,3.8,80,91%,Emily Chapman,Casual Dining,Casual Dress,Moderate
Ovest Pizzoteca,Chelsea,Pizzeria,$30 and under,4.5,4.3,4.3,4.3,143,86%,,Elegant Dining,Casual Dress,Moderate
Balzem,NoLita,Mediterranean,$30 and under,4.4,4.5,4.6,4.2,267,85%,,Casual Dining,Casual Dress,Moderate
Nickel & Diner,SoHo,American,$31 to $50,4.2,3.9,4.3,3.8,205,77%,Charles Cho,Casual Dining,Smart Casual,Moderate
Grill Café at The Standard,Meatpacking District,Contemporary American,$30 and under,4.2,3.9,4.3,3.7,19,83%,,Casual Dining,Casual Dress,Moderate
El Toro Blanco,SoHo,Mexican,$31 to $50,4.2,4,4.1,3.9,536,71%,Josh Capon,Casual Dining,Casual Dress,Moderate
Morrell Wine Bar & Cafe,Rockefeller Center Midtown,American,$31 to $50,4.4,4.3,4.4,4,806,100%,Jorge Arellano,Casual Elegant,Casual Dress,Moderate
Balvanera,Lower East Side,Argentinean,$31 to $50,4.8,4.6,4.5,4.4,297,95%,Fernando Navas,Casual Elegant,Smart Casual,Moderate
El Porron,Upper East Side,Tapas / Small Plates,$31 to $50,4.6,4.5,4.4,4.3,525,88%,"Gonzalo ""Mr.G"" Bermeo",Casual Elegant,Smart Casual,Moderate
North Square,Greenwich Village,American,$31 to $50,4.5,4.4,4.2,4.3,1787,93%,Yoel Cruz,Casual Dining,Casual Dress,Quiet
Villanelle,Greenwich Village,American,$50 and over,4.7,4.8,4.6,4.2,185,93%,,Casual Elegant,Business Casual,Quiet
The Bari,NoHo,Contemporary Asian,$31 to $50,4.2,4.2,4.3,3.9,65,74%,Mason Rhee,Casual Elegant,Smart Casual,Moderate
Santa Fe,Upper West Side,Mexican / Southwestern,$31 to $50,4.4,4.4,4.2,4.2,545,95%,Jose Gonzalez,Casual Dining,Casual Dress,Moderate
Chez Josephine,Theater District / Times Square,French,$31 to $50,4.3,4.4,4.6,4.2,5353,89%,Frank Diaz,Casual Dining,Casual Dress,Moderate
The Wayfarer,Midtown West,American,$31 to $50,4.3,4.1,4.3,3.9,825,87%,,Casual Elegant,Smart Casual,Moderate
Kyo Ya,East Village,Japanese,$50 and over,4.7,4.8,4.7,4.4,46,85%,,Casual Elegant,Smart Casual,Quiet
MIFUNE New York,Midtown East,Japanese,$31 to $50,4.5,4.3,4.4,4.1,172,80%,,Casual Elegant,Smart Casual,Quiet
Bacaro,Lower East Side,Italian,$30 and under,4.6,4.5,4.8,4.4,557,96%,Frank DeCarlo,Casual Dining,Casual Dress,Moderate
Tiella,Upper East Side,Italian,$30 and under,4.7,4.6,4.4,4.5,542,100%,Giuseppe Castellano,Casual Dining,Casual Dress,Quiet
Song E Napule,NoHo,Italian,$30 and under,4.8,4.7,4.5,4.6,137,100%,,Casual Dining,Business Casual,Moderate
David's Cafe,East Village,French American,$30 and under,4.5,4.2,4.3,4.2,202,86%,Chef David Malbequi,Casual Dining,Casual Dress,Moderate
Jacques Brasserie,Upper East Side,French,$31 to $50,4.5,4.5,4.5,4.3,848,95%,,Casual Dining,Casual Dress,Moderate
Spaghetti Incident,Lower East Side,Italian,$31 to $50,4.6,4.5,4.5,4.6,99,100%,,Casual Dining,Casual Dress,Moderate
Berimbau Brazilian Restaurant,West Village,Brazilian,$31 to $50,4.7,4.7,4.5,4.4,713,93%,,Casual Elegant,Smart Casual,Moderate
Voula,West Village,Greek,$31 to $50,4.6,4.5,4.4,4.2,44,96%,,Casual Dining,Casual Dress,Moderate
Blue Ribbon Federal Grill,Financial District,Contemporary American,$31 to $50,4.4,4.4,4.2,3.9,221,94%,Bruce and Eric Bromberg,Casual Dining,Casual Dress,Moderate
Bistro Cassis Manhattan,Upper West Side,French,$30 and under,4.4,4.3,4.2,4,562,93%,,Casual Dining,Casual Dress,Moderate
5 Napkin Burger - Upper West Side,Upper West Side,American,$30 and under,4.3,4.2,4,4,1174,94%,Andy D'Amico,Casual Dining,Casual Dress,Moderate
The Meatball Shop - Upper East Side,Upper East Side,American,$30 and under,4.5,4.5,4.3,4.3,27,100%,,Casual Dining,Casual Dress,Moderate
Industry Kitchen,South Street Seaport,American,$30 and under,4.3,4.3,4.5,4.1,457,91%,Chef Sean Chudoba,Casual Dining,Casual Dress,Moderate
10 Corso Como - New York,South Street Seaport,Italian,$31 to $50,4.3,4.4,4.4,4,90,92%,Jordan Frosolone,Casual Elegant,Smart Casual,Quiet
Fraunces Tavern,Financial District,Contemporary American,$30 and under,4.4,4.3,4.7,4.1,1955,96%,Jesus Guzman,Casual Dining,Smart Casual,Moderate
Lokal Mediterranean Kitchen,Upper West Side,Mediterranean,$31 to $50,4.5,4.5,4.4,4.3,255,96%,,Casual Dining,Business Casual,Moderate
Mediterraneo,Upper East Side,Italian,$30 and under,4.4,4.4,4.3,4.2,195,93%,,Casual Dining,Smart Casual,Moderate
Plant Food + Wine New York,East Village,Vegan,$31 to $50,4.3,4.2,4.3,3.6,137,84%,Scott Winegard,Casual Dining,Casual Dress,Moderate
La Sirene UWS,Upper West Side,French,$31 to $50,4.6,4.6,4.5,4.3,253,95%,Lyon Pawlicki,Casual Dining,Casual Dress,Quiet
Cowgirl,Meatpacking District,Barbecue,$31 to $50,4.3,4.3,4.4,4.4,194,93%,,Casual Dining,Casual Dress,Moderate
Gazala’s,Upper West Side,Middle Eastern,$30 and under,4.4,4.3,4,4.1,164,92%,Gazala Halabi,Casual Dining,Smart Casual,Moderate
Trinity Place Bar & Restaurant,Financial District,Contemporary American,$30 and under,4.3,4.3,4.5,4.1,848,90%,Donal Crosbie,Casual Elegant,Business Casual,Moderate
5 Napkin Burger - Upper East Side,Upper East Side,American,$30 and under,4.6,4.5,4.3,4.3,183,100%,Chef Andy D'Amico,Casual Dining,Casual Dress,Moderate
Giorgione,SoHo,Italian,$31 to $50,4.5,4.5,4.5,4.1,643,84%,,Casual Elegant,Smart Casual,Moderate
Jean Claude 2,Upper East Side,French,$30 and under,4.5,4.5,4.3,4.4,499,93%,,Casual Dining,Smart Casual,Moderate
Racines NY,TriBeCa - Downtown,Contemporary French / American,$50 and over,4.5,4.5,4.5,4.2,519,93%,Diego Moya,Casual Elegant,Smart Casual,Moderate
PMF - Pardon My French,East Village,French,$30 and under,4.3,4.4,4.4,4,45,88%,,Casual Dining,Casual Dress,Moderate
Takeshi Sushi,SoHo,Sushi,$50 and over,4.7,4.5,4,4.3,34,90%,Takeshi Sato,Casual Elegant,Business Casual,Quiet
Gran Morsi,TriBeCa - Downtown,Italian,$31 to $50,4.5,4.5,4.5,4.1,342,91%,,Casual Elegant,Smart Casual,Moderate
BlackTail,Battery Park,American,$31 to $50,4.5,4.7,4.9,4.2,343,96%,,Casual Dining,Smart Casual,Moderate
Max - Tribeca,TriBeCa - Downtown,Italian,$30 and under,4.6,4.6,4.5,4.6,396,91%,Luigi Iasilli,Home Style,Casual Dress,Moderate
Souvlaki GR - LES,Lower East Side,Greek,$30 and under,4.6,4.2,4.6,4.5,231,87%,,Casual Dining,Casual Dress,Moderate
Five Mile Stone,Upper East Side,American,$30 and under,4.5,4.6,4.4,4.5,85,100%,,Casual Dining,Casual Dress,Moderate
Petrarca Cucina e Vino,TriBeCa - Downtown,Italian,$31 to $50,4.5,4.5,4.4,4.3,215,88%,Chef Leonardo Pulito,Casual Dining,Casual Dress,Moderate
Cafe Frida - Columbus Ave,Upper West Side,Mexican,$30 and under,4.3,4.3,4.1,4,923,87%,Miguel Espinoza,Casual Dining,Business Casual,Moderate
Jaiya - UES,Upper East Side,Thai,$31 to $50,4.3,4,4.2,3.8,412,71%,Wanee Pokpoonpipat,Fine Dining,Business Casual,Quiet
The MasalaWala,Lower East Side,Indian,$30 and under,4.6,4.4,4,4.3,195,94%,Chhimi Dorje,Casual Elegant,Smart Casual,Moderate
Holy Ground,TriBeCa - Downtown,American,$50 and over,4.4,4.4,4.6,3.8,105,86%,,Casual Elegant,Smart Casual,Moderate
The Spotted Dog,Upper East Side,American,$30 and under,4.3,4.1,4.3,4.2,41,67%,,Casual Dining,Casual Dress,Moderate
Kafana,East Village,Eastern European,$31 to $50,4.6,4.5,4.6,4.5,355,84%,,Casual Dining,Casual Dress,Moderate
Westville - East Village,East Village,American,$30 and under,4.7,4.6,4.1,4.4,10,93%,,Casual Dining,Casual Dress,Moderate
Mayahuel,Lower East Side,Mexican,$31 to $50,3.9,3.8,4.2,3.5,73,70%,Rafael Garcia,Casual Elegant,Smart Casual,Moderate
Trading Post NYC,Financial District,American,$31 to $50,4.3,4.4,4.5,4.2,282,93%,Stephen Woods,Casual Elegant,Smart Casual,Moderate
MarkJoseph Steakhouse,Financial District,Steakhouse,$50 and over,4.5,4.6,4.4,4.2,935,88%,,Fine Dining,Smart Casual,Quiet
Boulevard Seafood NY,Upper West Side,Seafood,$30 and under,4.3,4.1,4.2,4,128,95%,Scott Snyder,Casual Dining,Casual Dress,Moderate
A La Turka Restaurant,Upper East Side,Turkish,$31 to $50,4.4,4.1,4.1,4.1,682,97%,,Casual Dining,Casual Dress,Moderate
Da Claudio Ristorante,Financial District,Italian,$31 to $50,4.5,4.5,4.2,4.2,362,97%,,Casual Elegant,Casual Dress,Moderate
North Fork,West Village,American,$31 to $50,3.7,3.8,3.9,3.6,20,82%,,Casual Dining,Casual Dress,Moderate
Taureau,SoHo,Fondue,$31 to $50,4.7,4.4,4.3,4.1,531,93%,Didier Pawlicki,Casual Dining,Business Casual,Moderate
Haru Sushi - Amsterdam Ave,Upper West Side,Japanese,$31 to $50,4.5,4.5,4.2,4.3,97,95%,Ben Dorado,Casual Elegant,Casual Dress,Moderate
Thalassa,TriBeCa - Downtown,Seafood,$31 to $50,4.6,4.6,4.7,4.2,1300,93%,Ralphael Abrahante,Fine Dining,Business Casual,Quiet
The Milton,Upper East Side,American,$30 and under,4.4,4.1,4.3,4.2,173,89%,David E. Diaz,Casual Elegant,Casual Dress,Moderate
Sel et Poivre Restaurant,Upper East Side,French,$31 to $50,4.3,4.4,4.1,4.2,427,91%,Christian Schienle,Casual Elegant,Smart Casual,Quiet
Kaikagetsu NYC,Lower East Side,Japanese,$50 and over,4.5,4.6,4.4,4.2,29,100%,,Fine Dining,Smart Casual,Quiet
Hi-Life Restaurant - Upper West Side,Upper West Side,American,$30 and under,4.4,4.6,4.4,4.5,360,97%,Paco Pinzon,Casual Dining,Casual Dress,Moderate
Clancey,Lower East Side,Contemporary American,$31 to $50,4.3,4.4,4.2,4.1,85,91%,,Casual Dining,Casual Dress,Moderate
Morton's The Steakhouse - World Trade Center,Financial District,Steakhouse,$50 and over,4.6,4.5,4.5,4.2,638,90%,Dan Drucker,Fine Dining,Business Casual,Quiet
Demarchelier,Upper East Side,French,$31 to $50,3.9,3.8,4,3.7,451,77%,Marc Tagournet,Casual Elegant,Smart Casual,Moderate
.Tarallucci e Vino Upper West Side,Upper West Side,Italian,$31 to $50,4.6,4.7,4.6,4.3,88,96%,,Casual Elegant,Smart Casual,Moderate
Caffe dei Fiori,Upper East Side,Italian,$31 to $50,4.5,4.5,4.3,3.9,285,81%,Daliso Gulmini,Casual Elegant,Smart Casual,Moderate
Conmigo,Upper East Side,Mexican,$30 and under,4.1,4,4.2,3.9,101,63%,,Casual Dining,Casual Dress,Moderate
Barbaresco,Upper East Side,Italian,$31 to $50,4.5,4.5,4.2,4.2,352,89%,Tony Mila,Casual Elegant,Casual Dress,Moderate
B. Cafe,Upper East Side,Belgian,$30 and under,4.5,4.2,4.1,4.1,972,93%,John Rees/chef co owner,Casual Dining,Smart Casual,Moderate
Bistro Les Amis,SoHo,French,$31 to $50,4.6,4.7,4.5,4.5,390,98%,David Snell,Casual Elegant,Casual Dress,Moderate
The Ship,SoHo,American,$30 and under,4.1,4.3,4.4,3.7,33,56%,Lucas Cerqueira,Casual Dining,Casual Dress,Moderate
Aurora Soho,SoHo,Italian,$31 to $50,4.6,4.4,4.5,4.3,858,94%,Riccardo Buitoni,Casual Dining,Casual Dress,Moderate
Caravaggio New York,Upper East Side,Italian,$31 to $50,4.5,4.6,4.6,4.1,833,89%,,Fine Dining,Business Casual,Quiet
Siena Cafe,Upper East Side,Italian,$30 and under,4.2,4.1,4.3,4,99,96%,Tim Ryan - Giovanni Family ,Casual Dining,Smart Casual,Moderate
Storico,Upper West Side,Contemporary Italian,$31 to $50,4.2,4.3,4.3,3.9,1422,91%,James Miller,Casual Elegant,Smart Casual,Moderate
BLT Prime,Upper East Side,Steakhouse,$30 and under,4.2,4.1,4.2,3.7,29,76%,,Casual Dining,Smart Casual,Moderate
Nickel & Diner,SoHo,American,$31 to $50,4.2,3.9,4.3,3.8,205,77%,Charles Cho,Casual Dining,Smart Casual,Moderate
Tre,Lower East Side,Italian,$31 to $50,4.4,4.3,4.5,4.4,441,88%,,Casual Dining,Casual Dress,Moderate
Ciccio,SoHo,Italian,$30 and under,4.5,4.6,4.5,4.3,298,96%,Giacomo Romano,Casual Dining,Casual Dress,Moderate
Lucky Strike,SoHo,French American,$30 and under,4.4,4.2,4.4,4.1,182,90%,,Casual Dining,Casual Dress,Moderate
Serafina Tribeca,TriBeCa - Downtown,Italian,$31 to $50,4.4,4.2,4.3,4.1,112,91%,,Casual Dining,Casual Dress,Moderate
Shoga Sushi,Upper East Side,Sushi,$30 and under,4.7,4.5,4.1,4.6,3,100%,,Casual Dining,Casual Dress,Moderate
Gentleman Farmer,Lower East Side,French,$30 and under,4.6,4.6,4.6,4.3,677,98%,Karim Nounouh,Casual Elegant,Casual Dress,Moderate
Balzem,NoLita,Mediterranean,$30 and under,4.4,4.5,4.6,4.2,267,85%,,Casual Dining,Casual Dress,Moderate
Serafina Upper West,Upper West Side,Italian,$30 and under,4.2,3.9,3.8,3.8,181,70%,,Casual Dining,Casual Dress,Moderate
Balvanera,Lower East Side,Argentinean,$31 to $50,4.8,4.6,4.5,4.4,297,95%,Fernando Navas,Casual Elegant,Smart Casual,Moderate
Lincoln Center Kitchen,Lincoln Square,American,$30 and under,4,4.1,3.7,3.6,1115,87%,Daniel Anconetani,Casual Elegant,Smart Casual,Moderate
Da Nico Ristorante - Manhattan Location,Little Italy,Italian,$30 and under,4.4,4.4,4.3,4.3,672,88%,,Casual Dining,Casual Dress,Moderate
Snack Taverna,West Village,Greek,$30 and under,4.6,4.3,4.5,4.2,519,89%,,Casual Dining,Smart Casual,Quiet
The Bari,NoHo,Contemporary Asian,$31 to $50,4.2,4.2,4.3,3.9,65,74%,Mason Rhee,Casual Elegant,Smart Casual,Moderate
Korali,Upper East Side,Greek,$31 to $50,4.6,4.6,4.5,4.3,690,100%,,Casual Dining,Smart Casual,Moderate
Sushi of Gari - Tribeca,TriBeCa - Downtown,Sushi,$50 and over,4.8,4.6,4,3.9,292,96%,KOICHIRO IDA,Fine Dining,Casual Dress,Quiet
Paesano of Mulberry Street,Little Italy,Italian,$30 and under,4.4,4.3,4.5,4.5,532,90%,,Casual Dining,Smart Casual,Moderate
MONO+MONO,East Village,Asian,$30 and under,4.4,4.2,4.8,4.2,48,82%,JU AN KANG,Casual Dining,Casual Dress,Moderate
Blossom on Columbus,Upper West Side,Vegan,$30 and under,4.6,4.6,4.6,4.3,734,93%,Ramiro Ramirez,Casual Elegant,Casual Dress,Moderate
Burke & Wills,Upper West Side,Australian,$31 to $50,4.6,4.7,4.7,4.3,617,98%,Jonathan Perez,Casual Elegant,Business Casual,Quiet
Burger and Barrel,SoHo,American,$31 to $50,4.4,4.4,4.3,4,870,86%,Josh Capon,Casual Dining,Smart Casual,Moderate
Thai72,Upper West Side,Thai,$30 and under,4.6,4.4,4.4,4.5,177,92%,,Casual Dining,Casual Dress,Moderate
Bottega,Upper East Side,Italian,$30 and under,4.5,4.4,4.4,4.2,519,96%,Carlos Contte,Casual Elegant,Casual Dress,Moderate
Del Frisco's Grille - Brookfield Place,Battery Park,American,$30 and under,4.3,4.3,4.2,3.8,280,92%,Dominic DeGuzman,Casual Dining,Business Casual,Moderate
CUT By Wolfgang Puck at FS Downtown New York,TriBeCa - Downtown,Steak,$31 to $50,4.6,4.6,4.5,4,487,87%,Raymond Weber,Fine Dining,Business Casual,Quiet
